day,month,year,doy_sep,region,bill_length,wing_length,tarsus_length
26,9,2009,25,N WA,34,16,31
27,8,2009,-5,N OR,27,18,31
8,8,2009,-24,N OR,25,5.8,32
29,7,2009,-34,N OR,18,6.5,32
19,7,2009,-44,N OR,21,6.5,32
8,8,2009,-24,N OR,29,6.5,32
16,8,2009,-16,S OR,16,7.5,32
14,8,2009,-18,N OR,15,8,32
28,6,2009,-65,N CA,21,8,32
8,8,2009,-24,N OR,21,9.5,32
13,8,2009,-19,S WA,22,10,32
31,8,2009,-1,S WA,31,10,32
8,8,2009,-24,N OR,20,11,32
13,8,2009,-19,S WA,23,11,32
7,8,2009,-25,N OR,19,11.5,32
20,10,2009,49,S WA,42,12,32
30,9,2009,29,N WA,29,13.3,32
26,9,2009,25,N WA,33,17,32
1,9,2009,0,N CA,29,18,32
19,7,2009,-44,N OR,20,6.8,33
29,7,2009,-34,N OR,19,7,33
19,7,2009,-44,N OR,20,7.4,33
3,7,2009,-60,N CA,24,7.5,33
19,7,2009,-44,N OR,22,7.7,33
15,8,2009,-17,S OR,21,8,33
13,8,2009,-19,S WA,24,10,33
15,8,2009,-17,S WA,25,10,33
10,10,2009,39,N OR,26,10,33
2,8,2009,-30,S OR,21,11,33
15,8,2009,-17,S WA,32,11,33
11,10,2009,40,S WA,39,11,33
7,8,2009,-25,N OR,28,12,33
15,8,2009,-17,S WA,33,12,33
7,8,2009,-25,N OR,29,12.5,33
27,8,2009,-5,N OR,31,12.5,33
1,9,2009,0,N CA,25,13,33
15,8,2009,-17,S WA,27,13,33
11,10,2009,40,S WA,27,13.5,33
10,10,2009,39,S WA,33,14.5,33
10,10,2009,39,S WA,37,15,33
8,9,2009,7,N CA,30,17,33
28,6,2009,-65,N CA,14,6.1,34
29,7,2009,-34,N OR,18,6.5,34
19,7,2009,-44,N OR,21,7.2,34
19,7,2009,-44,N OR,19,7.6,34
19,7,2009,-44,N OR,20,7.8,34
7,8,2009,-25,N OR,21,8,34
2,8,2009,-30,S OR,19,10,34
19,8,2009,-13,S OR,22,10,34
14,8,2009,-18,N OR,25,10,34
15,8,2009,-17,S WA,25,10,34
29,8,2009,-3,N OR,26,10,34
9,8,2009,-23,N OR,21,11,34
7,8,2009,-25,N OR,27,11,34
29,8,2009,-3,N OR,27,11,34
7,8,2009,-25,N OR,28,11,34
29,8,2009,-3,N OR,30,11,34
30,6,2009,-63,N CA,17,12,34
15,8,2009,-17,S WA,28,12,34
29,8,2009,-3,N OR,29,12,34
15,8,2009,-17,S WA,30,12,34
15,9,2009,14,N WA,28,14,34
31,8,2009,-1,S WA,30,14,34
30,9,2009,29,N WA,31,15,34
24,10,2009,53,S WA,41,15,34
10,10,2009,39,S WA,27,16,34
10,10,2009,39,S WA,33,16,34
3,10,2009,32,N WA,25,17,34
28,9,2009,27,N CA,38,18.8,34
28,9,2009,27,N CA,34,19.5,34
28,9,2009,27,N CA,34,20,34
19,7,2009,-44,N OR,19,6.8,35
19,7,2009,-44,N OR,18,7,35
19,7,2009,-44,N OR,20,7,35
4,7,2009,-59,N CA,24,7,35
4,7,2009,-59,N CA,24,7,35
4,7,2009,-59,N CA,24,7,35
19,7,2009,-44,N OR,19,7.1,35
14,8,2009,-18,N OR,17,8,35
18,8,2009,-14,N OR,18,8,35
10,7,2009,-53,N CA,26,8.9,35
13,8,2009,-19,S WA,23,9,35
15,8,2009,-17,S WA,23,10,35
11,10,2009,40,S WA,25,10,35
7,8,2009,-25,N OR,25,10.5,35
11,8,2009,-21,N OR,30,10.5,35
2,8,2009,-30,S OR,23,11,35
13,8,2009,-19,S WA,26,11,35
15,8,2009,-17,S WA,27,11,35
15,8,2009,-17,S WA,29,11,35
14,8,2009,-18,N OR,35,11,35
14,8,2009,-18,N OR,35,11,35
30,8,2009,-2,N WA,25,11.5,35
14,8,2009,-18,N OR,20,12,35
13,9,2009,12,S WA,21,12,35
13,9,2009,12,S WA,21,12,35
15,8,2009,-17,S WA,27,12,35
23,8,2009,-9,N CA,33,12,35
19,8,2009,-13,N CA,23,13,35
17,8,2009,-15,S WA,25,13,35
24,8,2009,-8,S WA,38,13,35
13,8,2009,-19,S WA,27,14,35
15,8,2009,-17,S WA,28,14,35
2,9,2009,1,N CA,28,14,35
27,8,2009,-5,N WA,40,14,35
29,8,2009,-3,N OR,30,14.5,35
25,9,2009,24,N WA,30,15.5,35
28,9,2009,27,N WA,21,16,35
23,8,2009,-9,N CA,30,18,35
8,8,2009,-24,N OR,21,5.8,36
28,6,2009,-65,N CA,14,6,36
19,7,2009,-44,N OR,20,7,36
19,7,2009,-44,N OR,20,7,36
29,8,2009,-3,N OR,21,11,36
13,8,2009,-19,S WA,30,11,36
26,7,2009,-37,N OR,25,12,36
19,8,2009,-13,S OR,25,12,36
7,8,2009,-25,N OR,29,12,36
29,8,2009,-3,N OR,33,12,36
8,8,2009,-24,N OR,24,13,36
15,8,2009,-17,S WA,26,13,36
2,9,2009,1,N CA,34,14,36
12,9,2009,11,N OR,29,14.2,36
27,8,2009,-5,N OR,38,14.2,36
10,10,2009,39,S WA,29,14.5,36
10,10,2009,39,S WA,32,14.5,36
11,10,2009,40,S WA,31,15.5,36
12,9,2009,11,S WA,32,15.5,36
25,9,2009,24,N WA,32,15.5,36
14,9,2009,13,N WA,28,16,36
19,9,2009,18,N WA,29,16,36
29,8,2009,-3,N OR,33,16,36
25,9,2009,24,N WA,31,16.5,36
22,10,2009,51,S WA,33,16.5,36
12,9,2009,11,S WA,30,17,36
18,10,2009,47,N CA,34,17.6,36
29,9,2009,28,N WA,30,18,36
20,9,2009,19,S OR,31,18,36
19,9,2009,18,N WA,36,18,36
10,10,2009,39,S WA,34,18.5,36
19,9,2009,18,N WA,36,19,36
11,10,2009,40,S WA,36,19,36
9,7,2009,-54,N OR,44,19,36
28,9,2009,27,N CA,33,19.5,36
17,9,2009,16,S OR,36,19.5,36
4,11,2009,64,S WA,37,19.5,36
19,7,2009,-44,N OR,22,6.5,37
18,7,2009,-45,N OR,27,6.8,37
18,8,2009,-14,N OR,20,8,37
15,8,2009,-17,S WA,26,11,37
11,9,2009,10,S WA,35,11,37
2,8,2009,-30,S OR,23,12,37
29,8,2009,-3,N OR,29,12,37
24,10,2009,53,S OR,39,12,37
15,9,2009,14,S WA,27,13,37
15,8,2009,-17,S WA,31,13,37
31,8,2009,-1,S WA,37,13,37
31,8,2009,-1,N WA,25,14,37
12,9,2009,11,S WA,30,15,37
31,8,2009,-1,S WA,40,15,37
13,9,2009,12,S WA,29,16,37
13,9,2009,12,S WA,29,16,37
17,8,2009,-15,N CA,31,16,37
15,9,2009,14,S WA,29,16.5,37
11,9,2009,10,S OR,26,17,37
25,9,2009,24,N WA,31,17,37
12,9,2009,11,S OR,32,17,37
10,9,2009,9,S WA,35,17,37
24,10,2009,53,S WA,41,17,37
9,10,2009,38,N WA,33,17.5,37
7,10,2009,36,S WA,34,18,37
26,9,2009,25,N WA,38,18,37
27,9,2009,26,N CA,36,18.5,37
4,10,2009,33,S WA,37,19,37
7,9,2009,6,N CA,38,19,37
7,10,2009,36,S WA,37,19.5,37
27,9,2009,26,N CA,39,19.5,37
21,9,2009,20,N OR,34,20,37
16,9,2009,15,N OR,37,20,37
19,7,2009,-44,N OR,20,7.2,38
28,6,2009,-65,N CA,18,7.6,38
19,7,2009,-44,N OR,24,8.2,38
16,8,2009,-16,S OR,31,11,38
14,9,2009,13,N WA,30,12,38
29,8,2009,-3,N OR,34,12,38
15,8,2009,-17,S WA,28,13,38
29,8,2009,-3,N OR,36,13,38
19,8,2009,-13,N OR,42,13,38
19,8,2009,-13,N OR,42,13,38
19,8,2009,-13,N OR,42,13,38
13,9,2009,12,S WA,30,13.5,38
15,8,2009,-17,S WA,25,14,38
8,8,2009,-24,N OR,27,14,38
19,8,2009,-13,N OR,42,14,38
15,9,2009,14,S WA,29,15,38
10,10,2009,39,S WA,30,15,38
30,8,2009,-2,N WA,31,15,38
29,8,2009,-3,N OR,30,15.5,38
18,9,2009,17,S WA,29,16,38
30,9,2009,29,N WA,34,16,38
11,10,2009,40,S WA,28,16.5,38
2,9,2009,1,N CA,29,16.5,38
8,9,2009,7,N CA,34,16.5,38
18,9,2009,17,S WA,26,17,38
26,9,2009,25,S OR,29,17,38
27,10,2009,56,N WA,29,17,38
12,9,2009,11,N OR,31,17,38
11,10,2009,40,S WA,31,17,38
7,9,2009,6,N CA,32,17,38
4,10,2009,33,S WA,37,18,38
20,9,2009,19,S OR,40,18,38
22,10,2009,51,S OR,34,18.5,38
12,9,2009,11,S WA,37,19,38
1,11,2009,61,S WA,38,19,38
21,9,2009,20,N WA,39,19,38
1,10,2009,30,N CA,35,20,38
27,9,2009,26,S OR,36,20,38
3,10,2009,32,N CA,38,20,38
18,7,2009,-45,N OR,23,6.5,39
22,7,2009,-41,N OR,22,12,39
27,9,2009,26,S WA,25,12,39
13,8,2009,-19,S WA,27,12,39
13,8,2009,-19,S WA,27,12,39
13,8,2009,-19,S WA,28,12,39
5,9,2009,4,N OR,25,12.2,39
31,8,2009,-1,N WA,29,13,39
19,9,2009,18,N OR,26,14,39
24,8,2009,-8,S WA,38,14,39
11,10,2009,40,S WA,32,16,39
16,9,2009,15,N OR,39,16,39
16,9,2009,15,N OR,40,16,39
11,10,2009,40,S WA,35,17,39
21,10,2009,50,S WA,39,17,39
1,9,2009,0,N CA,29,17.5,39
29,8,2009,-3,N OR,30,17.5,39
11,10,2009,40,S WA,33,17.6,39
20,9,2009,19,N WA,32,18,39
2,9,2009,1,N CA,33,18,39
13,9,2009,12,S OR,34,18,39
9,10,2009,38,N WA,35,18,39
14,9,2009,13,S WA,36,18,39
26,9,2009,25,S OR,29,19,39
20,9,2009,19,S OR,32,19,39
2,10,2009,31,N WA,35,19,39
11,10,2009,40,S WA,36,19,39
19,9,2009,18,N WA,38,19,39
27,9,2009,26,N CA,38,19,39
20,9,2009,19,N CA,37,19.1,39
11,9,2009,10,S OR,37,20,39
10,10,2009,39,N CA,39,20,39
20,7,2009,-43,S OR,17,6.7,40
18,7,2009,-45,N OR,27,6.9,40
18,7,2009,-45,N OR,27,7,40
18,7,2009,-45,N OR,25,7.1,40
14,8,2009,-18,N OR,15,7.5,40
20,7,2009,-43,S OR,12,9.5,40
20,7,2009,-43,S OR,18,9.7,40
15,8,2009,-17,S WA,22,10,40
14,8,2009,-18,N OR,20,12,40
13,8,2009,-19,S WA,23,12,40
1,9,2009,0,N CA,24,12,40
14,8,2009,-18,N OR,25,12,40
14,8,2009,-18,N OR,20,13,40
17,8,2009,-15,S WA,20,13,40
14,8,2009,-18,N OR,35,13,40
10,10,2009,39,S WA,50,13,40
24,8,2009,-8,S WA,37,14,40
29,8,2009,-3,S WA,24,14.7,40
31,8,2009,-1,S WA,34,16,40
26,9,2009,25,N WA,36,16,40
2,10,2009,31,N WA,26,17,40
23,9,2009,22,S WA,30,17,40
2,9,2009,1,N CA,31,17,40
24,9,2009,23,S WA,33,17,40
14,9,2009,13,N WA,36,17,40
29,8,2009,-3,S WA,30,18,40
12,10,2009,41,S WA,32,18,40
16,9,2009,15,N WA,39,18,40
15,8,2009,-17,S OR,46,18,40
14,11,2009,74,N WA,37,18.5,40
29,10,2009,58,N WA,39,18.5,40
19,9,2009,18,N OR,39,19,40
7,10,2009,36,S WA,38,20,40
18,7,2009,-45,N OR,31,7.8,41
31,8,2009,-1,S WA,17,10,41
15,8,2009,-17,S WA,26,12,41
24,9,2009,23,N WA,31,12,41
16,9,2009,15,N WA,33,16,41
25,9,2009,24,N WA,39,17,41
15,9,2009,14,N WA,36,18,41
25,9,2009,24,N WA,36,18,41
27,9,2009,26,N WA,31,19,41
16,9,2009,15,N WA,39,19,41
13,9,2009,12,N WA,38,19.3,41
16,9,2009,15,N OR,38,20,41
18,7,2009,-45,N OR,27,6.5,42
23,8,2009,-9,S WA,30,15,42
23,8,2009,-9,S WA,31,15,42
15,9,2009,14,S WA,33,16,42
2,9,2009,1,N CA,34,18.5,42
12,9,2009,11,N OR,39,18.5,42
20,9,2009,19,N OR,39,19,42
22,8,2009,-10,N CA,32,15,43
13,9,2009,12,N WA,37,18.5,43
29,9,2009,28,N WA,33,19.5,43
23,8,2009,-9,S WA,14,25,43
23,8,2009,-9,S WA,21,11,44
15,8,2009,-17,S WA,27,12,44
22,8,2009,-10,N CA,33,16,44
15,8,2009,-17,S WA,30,14,45
23,8,2009,-9,S WA,36,14,45
11,9,2009,10,N WA,39,14,45
2,9,2009,1,S OR,34,14.4,45
19,9,2009,18,N OR,38,19.2,45
18,9,2009,17,N CA,36,19,46
21,9,2010,20,S WA,6,15,6
17,8,2010,-15,N OR,21,6,22
12,9,2010,11,N OR,35,16,28
21,8,2010,-11,N OR,19,9,30
24,9,2010,23,S OR,29,14,30
30,10,2010,59,S WA,26,16,30
12,10,2010,41,N OR,16,17,30
21,9,2010,20,N WA,32,17,30
12,9,2010,11,N OR,37,17,30
12,9,2010,11,N OR,37,18,30
1,8,2010,-31,N OR,21,6.5,31
22,8,2010,-10,N OR,25,8,32
21,8,2010,-11,N OR,35,15,32
21,8,2010,-11,N OR,18,6,33
28,7,2010,-35,S OR,18,6.5,33
18,9,2010,17,N OR,28,10,33
19,9,2010,18,N OR,27,11,33
16,10,2010,45,S OR,30,14,33
10,11,2010,70,S WA,46,16,33
17,10,2010,46,S OR,35,18,33
15,8,2010,-17,S OR,21,8,34
2,9,2010,1,N OR,26,10,34
16,10,2010,45,N OR,30,14.5,34
13,10,2010,42,S WA,43,19.5,34
6,12,2010,96,S WA,37,21,34
3,10,2010,32,S OR,30,16.5,35
16,10,2010,45,S OR,30,17,35
12,10,2010,41,N OR,31,17,35
12,10,2010,41,S OR,31,17,35
20,10,2010,49,N OR,33,17.5,35
13,11,2010,73,N OR,36,19,35
13,10,2010,42,S WA,35,19.5,35
4,12,2010,94,S OR,35,20,35
15,8,2010,-17,S OR,23,12,36
14,9,2010,13,S WA,26,13,36
30,10,2010,59,S OR,28,14,36
3,10,2010,32,N OR,30,14,36
30,9,2010,29,S WA,33,16,36
20,10,2010,49,S OR,30,17,36
9,10,2010,38,N OR,37,18,36
15,10,2010,44,N CA,35,19,36
4,12,2010,94,S OR,37,19,36
14,9,2010,13,S WA,50,13,37
15,10,2010,44,N WA,31,17,37
9,10,2010,38,N OR,32,17,37
6,11,2010,66,N CA,37,17.7,37
15,10,2010,44,N CA,33,18,37
14,11,2010,74,S OR,35,20,37
18,8,2010,-14,N OR,23,12,38
1,9,2010,0,S WA,45,12.5,38
16,10,2010,45,S OR,31,16,38
8,10,2010,37,N WA,35,17,38
20,10,2010,49,S OR,30,18,38
27,10,2010,56,N WA,31,18,38
20,10,2010,49,S OR,32,18,38
9,10,2010,38,N OR,36,18,38
29,10,2010,58,S WA,36,18,38
11,10,2010,40,N WA,37,18,38
19,9,2010,18,N WA,43,18.5,38
30,10,2010,59,S WA,35,19,38
11,10,2010,40,S WA,36,19,38
12,10,2010,41,S OR,36,27,38
28,8,2010,-4,S WA,18,9,39
18,9,2010,17,S OR,24,13,39
20,10,2010,49,S OR,32,16,39
16,10,2010,45,S OR,35,18,39
2,10,2010,31,S OR,36,18,39
27,10,2010,56,N OR,40,18,39
4,12,2010,94,S OR,39,19,39
6,11,2010,66,S OR,34,19.5,39
21,9,2010,20,N WA,30,12.5,40
27,10,2010,56,S WA,27,17,40
12,10,2010,41,N OR,30,17,40
20,10,2010,49,S OR,32,17,40
8,10,2010,37,N CA,35,18,40
16,10,2010,45,N OR,39,18,40
30,10,2010,59,S OR,41,18,40
2,10,2010,31,S OR,32,19,40
18,11,2010,78,S OR,33,19,40
16,10,2010,45,S OR,38,19,40
27,10,2010,56,N WA,38,19,40
14,11,2010,74,S OR,38,19,40
16,10,2010,45,S OR,37,20,40
9,10,2010,38,N OR,35,18,41
9,10,2010,38,N CA,44,18,41
24,7,2010,-39,N CA,20,10,42
2,10,2010,31,N OR,40,18.9,42
18,11,2010,78,S OR,38,20,42
11,9,2010,10,N CA,45,12,45
25,10,2010,54,N CA,35,19,45
4,12,2010,94,S OR,37,20.3,47
25,9,2010,24,S OR,25,15,55
31,8,2010,-1,S OR,30,16,55
